time,District,Party,Mandates,Percentage,validVotesPercentage,Votes
06/10/2019 18:56,Território Nacional,PPD/PSD.CDS-PP,99,36.83,38.24,1981459
06/10/2019 18:56,Território Nacional,PS,85,32.38,33.62,1742012
06/10/2019 18:56,Território Nacional,B.E.,19,10.22,10.61,549878
06/10/2019 18:56,Território Nacional,PCP-PEV,17,8.27,8.59,444955
06/10/2019 18:56,Território Nacional,PPD/PSD,5,1.51,1.56,81054
06/10/2019 18:56,Território Nacional,PAN,1,1.39,1.44,74752
06/10/2019 18:56,Território Nacional,PDR,0,1.13,1.18,60998
06/10/2019 18:56,Território Nacional,PCTP/MRPP,0,1.11,1.15,59838
06/10/2019 18:56,Território Nacional,L/TDA,0,0.72,0.75,39008
06/10/2019 18:56,Território Nacional,PNR,0,0.5,0.52,27141
06/10/2019 18:56,Território Nacional,MPT,0,0.42,0.43,22416
06/10/2019 18:56,Território Nacional,PTP-MAS,0,0.38,0.4,20709
06/10/2019 18:56,Território Nacional,NC,0,0.35,0.36,18722
06/10/2019 18:56,Território Nacional,PPM,0,0.28,0.29,14805
06/10/2019 18:56,Território Nacional,JPP,0,0.26,0.27,14204
06/10/2019 18:56,Território Nacional,PURP,0,0.26,0.27,13764
06/10/2019 18:56,Território Nacional,CDS-PP,0,0.14,0.15,7536
06/10/2019 18:56,Território Nacional,CDS-PP.PPM,0,0.07,0.07,3654
06/10/2019 18:56,Território Nacional,PPV/CDC,0,0.05,0.05,2659
06/10/2019 18:56,Território Nacional,PTP,0,0.03,0.03,1748
06/10/2019 18:56,Açores,PS,3,40.37,42.47,37869
06/10/2019 18:56,Açores,PPD/PSD,2,36.06,37.93,33826
06/10/2019 18:56,Açores,B.E.,0,7.81,8.22,7330
06/10/2019 18:56,Açores,CDS-PP.PPM,0,3.9,4.1,3654
06/10/2019 18:56,Açores,PCP-PEV,0,2.47,2.6,2320
06/10/2019 18:56,Açores,PAN,0,0.87,0.91,815
06/10/2019 18:56,Açores,NC,0,0.82,0.86,766
06/10/2019 18:56,Açores,PCTP/MRPP,0,0.64,0.67,601
06/10/2019 18:56,Açores,PDR,0,0.54,0.57,511
06/10/2019 18:56,Açores,PURP,0,0.37,0.39,346
06/10/2019 18:56,Açores,L/TDA,0,0.35,0.37,332
06/10/2019 18:56,Açores,PTP-MAS,0,0.34,0.36,319
06/10/2019 18:56,Açores,MPT,0,0.32,0.34,299
06/10/2019 18:56,Açores,PNR,0,0.2,0.21,185
06/10/2019 18:56,Aveiro,PPD/PSD.CDS-PP,10,48.14,50.23,177185
06/10/2019 18:56,Aveiro,PS,5,27.91,29.12,102726
06/10/2019 18:56,Aveiro,B.E.,1,9.6,10.01,35327
06/10/2019 18:56,Aveiro,PCP-PEV,0,4.36,4.55,16038
06/10/2019 18:56,Aveiro,PDR,0,1.24,1.29,4548
06/10/2019 18:56,Aveiro,PAN,0,0.97,1.01,3573
06/10/2019 18:56,Aveiro,PCTP/MRPP,0,0.89,0.93,3280
06/10/2019 18:56,Aveiro,PNR,0,0.46,0.48,1698
06/10/2019 18:56,Aveiro,L/TDA,0,0.45,0.47,1660
06/10/2019 18:56,Aveiro,MPT,0,0.36,0.38,1325
06/10/2019 18:56,Aveiro,PPM,0,0.35,0.37,1292
06/10/2019 18:56,Aveiro,PTP-MAS,0,0.34,0.36,1253
06/10/2019 18:56,Aveiro,NC,0,0.27,0.29,1006
06/10/2019 18:56,Aveiro,PPV/CDC,0,0.21,0.22,785
06/10/2019 18:56,Aveiro,PURP,0,0.17,0.18,634
06/10/2019 18:56,Aveiro,JPP,0,0.12,0.13,448
06/10/2019 18:56,Beja,PS,1,37.29,38.51,27775
06/10/2019 18:56,Beja,PCP-PEV,1,24.96,25.78,18592
06/10/2019 18:56,Beja,PPD/PSD.CDS-PP,1,20.11,20.77,14980
06/10/2019 18:56,Beja,B.E.,0,8.2,8.46,6105
06/10/2019 18:56,Beja,PCTP/MRPP,0,2.61,2.7,1945
06/10/2019 18:56,Beja,PAN,0,0.82,0.84,608
06/10/2019 18:56,Beja,PDR,0,0.47,0.49,351
06/10/2019 18:56,Beja,PURP,0,0.46,0.47,340
06/10/2019 18:56,Beja,PNR,0,0.37,0.38,275
06/10/2019 18:56,Beja,L/TDA,0,0.36,0.38,271
06/10/2019 18:56,Beja,MPT,0,0.33,0.34,248
06/10/2019 18:56,Beja,PPM,0,0.26,0.27,192
06/10/2019 18:56,Beja,PTP-MAS,0,0.26,0.27,193
06/10/2019 18:56,Beja,NC,0,0.21,0.22,160
06/10/2019 18:56,Beja,JPP,0,0.12,0.12,88
06/10/2019 18:56,Braga,PPD/PSD.CDS-PP,10,45.61,47.29,216357
06/10/2019 18:56,Braga,PS,7,30.87,32,146412
06/10/2019 18:56,Braga,B.E.,1,8.8,9.12,41745
06/10/2019 18:56,Braga,PCP-PEV,1,5.19,5.38,24632
06/10/2019 18:56,Braga,PDR,0,1.58,1.64,7500
06/10/2019 18:56,Braga,PCTP/MRPP,0,1.15,1.19,5436
06/10/2019 18:56,Braga,PAN,0,0.78,0.8,3682
06/10/2019 18:56,Braga,L/TDA,0,0.49,0.51,2333
06/10/2019 18:56,Braga,PNR,0,0.39,0.4,1836
06/10/2019 18:56,Braga,MPT,0,0.34,0.35,1604
06/10/2019 18:56,Braga,PTP-MAS,0,0.34,0.35,1620
06/10/2019 18:56,Braga,PPV/CDC,0,0.21,0.22,993
06/10/2019 18:56,Braga,NC,0,0.2,0.21,972
06/10/2019 18:56,Braga,PPM,0,0.19,0.19,884
06/10/2019 18:56,Braga,PURP,0,0.19,0.19,878
06/10/2019 18:56,Braga,JPP,0,0.13,0.14,637
06/10/2019 18:56,Bragança,PPD/PSD.CDS-PP,2,49.41,51.32,34408
06/10/2019 18:56,Bragança,PS,1,34.06,35.38,23718
06/10/2019 18:56,Bragança,B.E.,0,5.54,5.75,3858
06/10/2019 18:56,Bragança,PCP-PEV,0,3.07,3.19,2136
06/10/2019 18:56,Bragança,PDR,0,0.78,0.81,546
06/10/2019 18:56,Bragança,PCTP/MRPP,0,0.77,0.8,537
06/10/2019 18:56,Bragança,PAN,0,0.55,0.58,386
06/10/2019 18:56,Bragança,PTP-MAS,0,0.41,0.42,284
06/10/2019 18:56,Bragança,L/TDA,0,0.36,0.37,251
06/10/2019 18:56,Bragança,PPM,0,0.33,0.34,229
06/10/2019 18:56,Bragança,MPT,0,0.32,0.33,223
06/10/2019 18:56,Bragança,PNR,0,0.27,0.28,190
06/10/2019 18:56,Bragança,NC,0,0.23,0.24,160
06/10/2019 18:56,Bragança,JPP,0,0.17,0.18,121
06/10/2019 18:56,Castelo Branco,PS,2,38.86,40.52,40502
06/10/2019 18:56,Castelo Branco,PPD/PSD.CDS-PP,2,35.31,36.82,36803
06/10/2019 18:56,Castelo Branco,B.E.,0,10.03,10.45,10450
06/10/2019 18:56,Castelo Branco,PCP-PEV,0,6.03,6.29,6286
06/10/2019 18:56,Castelo Branco,PCTP/MRPP,0,1.04,1.08,1080
06/10/2019 18:56,Castelo Branco,PDR,0,1.04,1.09,1086
06/10/2019 18:56,Castelo Branco,PAN,0,0.83,0.86,860
06/10/2019 18:56,Castelo Branco,L/TDA,0,0.49,0.51,507
06/10/2019 18:56,Castelo Branco,PNR,0,0.49,0.51,508
06/10/2019 18:56,Castelo Branco,PPM,0,0.48,0.5,496
06/10/2019 18:56,Castelo Branco,MPT,0,0.45,0.47,474
06/10/2019 18:56,Castelo Branco,PTP-MAS,0,0.36,0.37,374
06/10/2019 18:56,Castelo Branco,NC,0,0.26,0.27,267
06/10/2019 18:56,Castelo Branco,PURP,0,0.26,0.27,272
06/10/2019 18:56,Coimbra,PPD/PSD.CDS-PP,4,37.18,38.85,81882
06/10/2019 18:56,Coimbra,PS,4,35.28,36.86,77684
06/10/2019 18:56,Coimbra,B.E.,1,9.89,10.33,21780
06/10/2019 18:56,Coimbra,PCP-PEV,0,7.03,7.34,15476
06/10/2019 18:56,Coimbra,PDR,0,1.64,1.72,3615
06/10/2019 18:56,Coimbra,PAN,0,0.98,1.03,2165
06/10/2019 18:56,Coimbra,PCTP/MRPP,0,0.86,0.9,1889
06/10/2019 18:56,Coimbra,L/TDA,0,0.59,0.61,1292
06/10/2019 18:56,Coimbra,PNR,0,0.5,0.52,1097
06/10/2019 18:56,Coimbra,PTP-MAS,0,0.49,0.51,1081
06/10/2019 18:56,Coimbra,MPT,0,0.39,0.41,854
06/10/2019 18:56,Coimbra,NC,0,0.31,0.32,683
06/10/2019 18:56,Coimbra,PPM,0,0.24,0.25,525
06/10/2019 18:56,Coimbra,PURP,0,0.2,0.21,451
06/10/2019 18:56,Coimbra,JPP,0,0.12,0.13,272
06/10/2019 18:56,Évora,PS,1,37.47,38.61,31705
06/10/2019 18:56,Évora,PPD/PSD.CDS-PP,1,23.96,24.69,20275
06/10/2019 18:56,Évora,PCP-PEV,1,21.94,22.61,18567
06/10/2019 18:56,Évora,B.E.,0,8.64,8.9,7312
06/10/2019 18:56,Évora,PCTP/MRPP,0,1.47,1.52,1245
06/10/2019 18:56,Évora,PAN,0,0.85,0.88,723
06/10/2019 18:56,Évora,PDR,0,0.52,0.54,443
06/10/2019 18:56,Évora,PPM,0,0.43,0.44,363
06/10/2019 18:56,Évora,L/TDA,0,0.42,0.43,356
06/10/2019 18:56,Évora,PNR,0,0.33,0.34,280
06/10/2019 18:56,Évora,MPT,0,0.29,0.29,242
06/10/2019 18:56,Évora,NC,0,0.26,0.26,216
06/10/2019 18:56,Évora,PTP-MAS,0,0.26,0.27,224
06/10/2019 18:56,Évora,PURP,0,0.2,0.2,166
06/10/2019 18:56,Faro,PS,4,32.77,34.09,62422
06/10/2019 18:56,Faro,PPD/PSD.CDS-PP,3,31.47,32.74,59950
06/10/2019 18:56,Faro,B.E.,1,14.13,14.7,26922
06/10/2019 18:56,Faro,PCP-PEV,1,8.68,9.03,16539
06/10/2019 18:56,Faro,PAN,0,1.99,2.07,3783
06/10/2019 18:56,Faro,PCTP/MRPP,0,1.58,1.64,3012
06/10/2019 18:56,Faro,PDR,0,1.2,1.25,2293
06/10/2019 18:56,Faro,L/TDA,0,0.75,0.78,1435
06/10/2019 18:56,Faro,PNR,0,0.71,0.73,1343
06/10/2019 18:56,Faro,NC,0,0.7,0.73,1337
06/10/2019 18:56,Faro,MPT,0,0.64,0.67,1222
